source_job_id,title,company_name,salary_text,city,district,experience,education,industry,company_size,financing_stage,skills,description,source,source_url,publish_time,crawl_time
51job-00001,算法工程师,成都星河科技有限公司,16-32K·14薪,成都,青羊区,5-10年,不限,互联网,20-99人,天使轮,"Python,机器学习,深度学习,C++",负责推荐/搜索/广告等算法模型开发与优化，熟悉主流深度学习框架，有实际业务落地经验。,51job,https://51job.example.invalid/jobs/1,2026-05-07,2026-06-04 06:15:30
liepin-00002,销售经理,成都云智信息有限公司,4-20K·13薪,成都,青羊区,3-5年,本科,软件服务,100-499人,A轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,liepin,https://liepin.example.invalid/jobs/2,2026-04-08,2026-06-03 12:15:30
51job-00003,运维工程师,成都星河软件有限公司,7-20K,成都,成华区,3-5年,本科,教育培训,100-499人,上市公司,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,51job,https://51job.example.invalid/jobs/3,2026-05-30,2026-06-02 13:15:30
boss-00004,算法工程师,成都蓉创软件有限公司,17-36K,成都,青羊区,1-3年,本科,电子商务,100-499人,上市公司,"Python,机器学习,深度学习,C++",负责推荐/搜索/广告等算法模型开发与优化，熟悉主流深度学习框架，有实际业务落地经验。,boss,https://boss.example.invalid/jobs/4,2026-05-23,2026-06-02 23:15:30
lagou-00005,销售经理,成都天府数据有限公司,5-20K,成都,天府新区,1-3年,不限,企业服务,500-999人,B轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,lagou,https://lagou.example.invalid/jobs/5,2026-04-17,2026-06-03 13:15:30
lagou-00006,数据分析师,成都锦城数据有限公司,10-20K,成都,天府新区,1-3年,本科,智能制造,1000-9999人,C轮及以上,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,lagou,https://lagou.example.invalid/jobs/6,2026-04-15,2026-06-02 13:15:30
boss-00007,数据分析师,成都锦城软件有限公司,7-22K·14薪,成都,高新区,不限,硕士,金融科技,1000-9999人,C轮及以上,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,boss,https://boss.example.invalid/jobs/7,2026-05-21,2026-06-04 04:15:30
51job-00008,Python 后端工程师,成都锦城软件有限公司,10-25K,成都,武侯区,3-5年,大专,教育培训,20-99人,上市公司,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,51job,https://51job.example.invalid/jobs/8,2026-04-28,2026-06-02 16:15:30
51job-00009,销售经理,成都云智数据有限公司,5-19K·13薪,成都,锦江区,不限,不限,电子商务,500-999人,天使轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,51job,https://51job.example.invalid/jobs/9,2026-03-27,2026-06-02 04:15:30
liepin-00010,销售经理,成都锦城软件有限公司,4-18K·14薪,成都,武侯区,1-3年,本科,教育培训,1000-9999人,天使轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,liepin,https://liepin.example.invalid/jobs/10,2026-03-28,2026-06-04 07:15:30
