source_job_id,title,company_name,salary_text,city,district,experience,education,industry,company_size,financing_stage,skills,description,source,source_url,publish_time
sample-0001,Java 开发工程师,成都蓉创科技有限公司14,8-23K,成都,锦江区,不限,硕士,互联网,20-99人,未融资,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/1,2026-05-06
sample-0002,数据分析师,成都天府科技有限公司29,7-15K,成都,双流区,3-5年,不限,企业服务,100-499人,上市公司,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/2,2026-03-12
sample-0003,运维工程师,成都云智科技有限公司14,9-19K,成都,金牛区,5-10年,不限,电子商务,500-999人,C轮及以上,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/3,2026-05-07
sample-0004,产品经理,成都锦城科技有限公司71,8-26K,成都,武侯区,3-5年,大专,智能制造,20-99人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/4,2026-04-16
sample-0005,数据分析师,成都天府科技有限公司36,8-16K,成都,双流区,3-5年,大专,电子商务,500-999人,天使轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/5,2026-05-22
sample-0006,产品经理,成都锦城科技有限公司49,8-21K,成都,天府新区,1-3年,本科,企业服务,20-99人,天使轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/6,2026-05-14
sample-0007,Python 后端工程师,成都锦城科技有限公司73,12-27K·13薪,成都,青羊区,1-3年,硕士,金融科技,1000-9999人,天使轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/7,2026-05-26
sample-0008,产品经理,成都天府科技有限公司75,9-22K·13薪,成都,双流区,3-5年,大专,软件服务,1000-9999人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/8,2026-03-21
sample-0009,Python 后端工程师,成都云智科技有限公司77,10-23K,成都,双流区,5-10年,硕士,教育培训,1000-9999人,C轮及以上,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/9,2026-03-08
sample-0010,产品经理,成都云智科技有限公司44,12-19K,成都,成华区,3-5年,硕士,软件服务,1000-9999人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/10,2026-03-08
sample-0011,产品经理,成都蓉创科技有限公司65,12-21K,成都,成华区,1-3年,大专,电子商务,100-499人,C轮及以上,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/11,2026-03-15
sample-0012,UI 设计师,成都锦城科技有限公司47,5-18K·14薪,成都,武侯区,1-3年,不限,软件服务,20-99人,未融资,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/12,2026-06-01
sample-0013,电商运营,成都星河科技有限公司71,4-13K,成都,天府新区,3-5年,硕士,软件服务,100-499人,上市公司,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/13,2026-03-11
sample-0014,产品经理,成都星河科技有限公司16,11-24K·14薪,成都,天府新区,1-3年,不限,电子商务,20-99人,C轮及以上,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/14,2026-03-29
sample-0015,UI 设计师,成都云智科技有限公司30,6-16K,成都,高新区,不限,本科,互联网,100-499人,A轮,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/15,2026-05-25
sample-0016,电商运营,成都星河科技有限公司53,5-13K·14薪,成都,天府新区,不限,不限,智能制造,1000-9999人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/16,2026-05-03
sample-0017,运维工程师,成都天府科技有限公司8,10-22K,成都,武侯区,3-5年,不限,软件服务,100-499人,天使轮,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/17,2026-03-09
sample-0018,UI 设计师,成都星河科技有限公司60,8-15K·14薪,成都,成华区,不限,硕士,企业服务,20-99人,未融资,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/18,2026-05-11
sample-0019,UI 设计师,成都天府科技有限公司63,5-14K,成都,双流区,1-3年,硕士,互联网,100-499人,B轮,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/19,2026-05-13
sample-0020,Python 后端工程师,成都天府科技有限公司72,13-25K·14薪,成都,双流区,1-3年,大专,电子商务,100-499人,未融资,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/20,2026-04-28
sample-0021,销售经理,成都天府科技有限公司75,8-17K·13薪,成都,高新区,1-3年,不限,教育培训,20-99人,天使轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/21,2026-05-27
sample-0022,Java 开发工程师,成都星河科技有限公司73,12-20K,成都,武侯区,不限,不限,金融科技,500-999人,A轮,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/22,2026-04-13
sample-0023,数据分析师,成都天府科技有限公司39,8-18K·13薪,成都,锦江区,3-5年,不限,互联网,1000-9999人,C轮及以上,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/23,2026-04-14
sample-0024,销售经理,成都锦城科技有限公司17,4-18K,成都,成华区,不限,大专,电子商务,500-999人,天使轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/24,2026-03-31
sample-0025,电商运营,成都星河科技有限公司14,8-15K,成都,成华区,3-5年,不限,互联网,100-499人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/25,2026-03-10
sample-0026,产品经理,成都天府科技有限公司65,12-22K·13薪,成都,成华区,3-5年,不限,互联网,1000-9999人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/26,2026-05-08
sample-0027,Python 后端工程师,成都天府科技有限公司21,10-26K,成都,成华区,5-10年,不限,互联网,20-99人,上市公司,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/27,2026-03-14
sample-0028,前端开发工程师,成都星河科技有限公司56,11-17K·13薪,成都,锦江区,不限,本科,电子商务,20-99人,A轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，熟悉 React 或 Vue，有 TypeScript 项目经验。,sample,https://example.invalid/jobs/28,2026-03-21
sample-0029,数据分析师,成都星河科技有限公司80,7-16K·13薪,成都,双流区,1-3年,大专,企业服务,100-499人,B轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/29,2026-03-24
sample-0030,Python 后端工程师,成都星河科技有限公司35,11-26K·14薪,成都,青羊区,不限,硕士,企业服务,20-99人,B轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/30,2026-03-10
sample-0031,数据分析师,成都云智科技有限公司29,7-22K·13薪,成都,青羊区,1-3年,硕士,电子商务,500-999人,未融资,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/31,2026-04-25
sample-0032,产品经理,成都星河科技有限公司34,10-25K·13薪,成都,武侯区,3-5年,不限,互联网,1000-9999人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/32,2026-05-31
sample-0033,测试工程师,成都云智科技有限公司33,8-13K·14薪,成都,青羊区,5-10年,不限,教育培训,100-499人,A轮,"Python,SQL,Linux",负责接口测试、自动化测试和质量保障，熟悉 Python 脚本和 SQL。,sample,https://example.invalid/jobs/33,2026-03-22
sample-0034,运维工程师,成都蓉创科技有限公司39,7-20K·13薪,成都,武侯区,3-5年,硕士,电子商务,1000-9999人,上市公司,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/34,2026-03-11
